t,d,n,field,type,error
8,1,2,complex,equal_norm,1.7763568394002505e-15
7,2,9,real,weighted,5.289381186746256e-10
6,3,16,real,weighted,3.7925918716005807e-10
5,4,29,real,weighted,6.878759447582216e-11
13,2,14,real,weighted,9.09228757901366e-18
13,2,14,real,equal_norm,1.4210854715202004e-13
4,5,54,real,weighted,9.028131872649227e-10
3,6,198,real,weighted,8.483220894839347e-10
2,7,28,real,weighted,3.447762908503904e-17
2,7,49,complex,weighted,2.6702956577688564e-11
1,8,8,real,weighted,2.220446049250313e-16
1,8,8,complex,weighted,0.0
9,1,2,real,weighted,1.0164395367051604e-20
9,1,2,complex,weighted,0.0
8,2,10,real,weighted,4.6263045852436877e-11
7,3,20,real,weighted,6.234052895819207e-13
6,4,30,real,weighted,1.5219394085054967e-12
5,5,30,real,weighted,5.98257160516794e-10
4,6,55,real,weighted,7.98719554883568e-10
3,7,206,real,weighted,9.544402195629416e-10
2,8,45,real,weighted,2.938207739177495e-11
2,8,90,complex,weighted,9.195848123234006e-10
1,9,9,real,weighted,2.220446049250313e-16
1,9,9,complex,weighted,2.220446049250313e-16
10,1,2,real,weighted,2.7755575615628914e-17
10,1,2,complex,weighted,0.0
9,2,10,real,weighted,1.3997765622919165e-10
8,3,25,real,weighted,1.0009430586290511e-15
7,4,40,real,weighted,1.9396084763873364e-15
6,5,50,real,weighted,5.414540533561431e-14
5,6,42,real,weighted,3.4413225761155025e-11
4,7,57,real,weighted,9.76887017259381e-10
3,8,213,real,weighted,9.925454590554033e-10
2,9,59,real,weighted,6.976373676339555e-10
2,9,173,complex,weighted,9.260597653231134e-10
1,10,10,real,weighted,4.6629367034256575e-15
1,10,10,complex,weighted,1.4210854715202004e-14
11,1,2,real,weighted,0.0
11,1,2,complex,weighted,0.0
10,2,11,real,weighted,2.684457578766279e-14
9,3,30,real,weighted,3.186942483119696e-19
8,4,55,real,weighted,9.4316400931348e-20
7,5,70,real,weighted,1.0723973935971546e-18
6,6,77,real,weighted,4.191766201018591e-16
5,7,56,real,weighted,1.771424438224766e-12
4,8,54,real,weighted,8.705074881343953e-10
3,9,222,real,weighted,9.568607224505207e-10
2,10,77,real,weighted,4.285177060197806e-10
2,10,210,complex,weighted,8.467491715590295e-10
1,11,11,real,weighted,2.220446049250313e-16
1,11,11,complex,weighted,3.086420008457935e-14
12,1,2,real,weighted,4.163336342344337e-17
12,1,2,complex,weighted,5.551115123125783e-17
11,2,12,real,weighted,3.3054577729110316e-16
10,3,36,real,weighted,7.971126512756325e-21
9,4,70,real,weighted,4.479181842824105e-24
8,5,105,real,weighted,2.1108129543076997e-23
7,6,112,real,weighted,1.5815066700947383e-20
6,7,112,real,weighted,5.402660660154553e-17
5,8,72,real,weighted,5.206345923008058e-13
4,9,59,real,weighted,6.984730867592571e-10
3,10,228,real,weighted,9.963529819704342e-10
2,11,97,real,weighted,5.800224098489581e-10
9,2,10,real,equal_norm,8.526512829121202e-14
6,5,476,real,equal_norm,1.1641532182693481e-10
4,10,62,real,weighted,6.685893828597382e-10
